"pop" "id" "k.value.run" "X1" "X2" "X3" "membership"
"191" "GC" "GC10" 1 1 NA NA 1
"192" "GC" "GC12" 1 1 NA NA 1
"193" "GC" "GC15" 1 1 NA NA 1
"194" "GC" "GC16" 1 1 NA NA 1
"195" "GC" "GC19" 1 1 NA NA 1
"196" "GC" "GC28" 1 1 NA NA 1
"197" "GC" "GC32" 1 1 NA NA 1
"198" "GC" "GC4" 1 1 NA NA 1
"199" "GC" "GC40" 1 1 NA NA 1
"200" "GC" "GC45" 1 1 NA NA 1
"201" "GC" "GC7" 1 1 NA NA 1
"202" "LD" "LD2" 1 1 NA NA 1
"203" "LN" "LN11" 1 1 NA NA 1
"204" "LN" "LN14" 1 1 NA NA 1
"205" "LN" "LN15" 1 1 NA NA 1
"206" "LN" "LN17" 1 1 NA NA 1
"207" "LN" "LN18" 1 1 NA NA 1
"208" "LN" "LN2" 1 1 NA NA 1
"209" "LN" "LN20" 1 1 NA NA 1
"210" "LN" "LN21" 1 1 NA NA 1
"211" "LN" "LN23" 1 1 NA NA 1
"212" "LN" "LN24" 1 1 NA NA 1
"213" "LN" "LN29" 1 1 NA NA 1
"214" "LN" "LN30" 1 1 NA NA 1
"215" "LN" "LN5" 1 1 NA NA 1
"216" "LN" "LN8" 1 1 NA NA 1
"217" "MH" "MH11" 1 1 NA NA 1
"218" "MH" "MH20" 1 1 NA NA 1
"219" "MH" "MH26" 1 1 NA NA 1
"220" "MH" "MH28" 1 1 NA NA 1
"221" "MH" "MH31" 1 1 NA NA 1
"222" "MH" "MH7" 1 1 NA NA 1
"223" "MH" "MH9" 1 1 NA NA 1
"224" "MM" "MM1" 1 1 NA NA 1
"225" "MR" "MR10" 1 1 NA NA 1
"226" "MR" "MR14" 1 1 NA NA 1
"227" "MR" "MR17" 1 1 NA NA 1
"228" "MR" "MR2" 1 1 NA NA 1
"229" "MR" "MR3" 1 1 NA NA 1
"230" "MR" "MR53" 1 1 NA NA 1
"231" "MR" "MR57" 1 1 NA NA 1
"232" "MR" "MR7" 1 1 NA NA 1
"233" "MR" "MR8" 1 1 NA NA 1
"234" "NHR" "NHR1" 1 1 NA NA 1
"235" "QR" "QR1" 1 1 NA NA 1
"236" "RT" "RT20" 1 1 NA NA 1
"237" "RT" "RT21" 1 1 NA NA 1
"238" "RT" "RT23" 1 1 NA NA 1
"239" "RT" "RT40" 1 1 NA NA 1
"240" "RT" "RT43" 1 1 NA NA 1
"241" "RT" "RT46" 1 1 NA NA 1
"242" "RT" "RT48" 1 1 NA NA 1
"243" "RT" "RT49" 1 1 NA NA 1
"244" "RT" "RT54" 1 1 NA NA 1
"245" "RT" "RT55" 1 1 NA NA 1
"246" "RT" "RT62" 1 1 NA NA 1
"247" "SF" "SF1" 1 1 NA NA 1
"248" "SF" "SF10" 1 1 NA NA 1
"249" "SF" "SF22" 1 1 NA NA 1
"250" "SF" "SF23" 1 1 NA NA 1
"251" "SF" "SF25" 1 1 NA NA 1
"252" "SF" "SF29" 1 1 NA NA 1
"253" "SF" "SF3" 1 1 NA NA 1
"254" "SF" "SF30" 1 1 NA NA 1
"255" "SF" "SF33" 1 1 NA NA 1
"256" "SF" "SF4" 1 1 NA NA 1
"257" "SF" "SF7" 1 1 NA NA 1
"258" "SH" "SH1" 1 1 NA NA 1
"259" "SH" "SH10" 1 1 NA NA 1
"260" "SH" "SH12" 1 1 NA NA 1
"261" "SH" "SH16" 1 1 NA NA 1
"262" "SH" "SH2" 1 1 NA NA 1
"263" "SH" "SH20" 1 1 NA NA 1
"264" "SH" "SH5" 1 1 NA NA 1
"265" "SH" "SH8" 1 1 NA NA 1
"266" "SK" "SK1" 1 1 NA NA 1
"267" "SK" "SK12" 1 1 NA NA 1
"268" "SK" "SK15" 1 1 NA NA 1
"269" "SK" "SK24" 1 1 NA NA 1
"270" "SK" "SK30" 1 1 NA NA 1
"271" "SK" "SK36" 1 1 NA NA 1
"272" "SK" "SK7" 1 1 NA NA 1
"273" "SP" "SP2" 1 1 NA NA 1
"274" "SP" "SP3" 1 1 NA NA 1
"275" "SP" "SP5" 1 1 NA NA 1
"276" "SR" "SR107" 1 1 NA NA 1
"277" "SR" "SR113" 1 1 NA NA 1
"278" "SR" "SR120" 1 1 NA NA 1
"279" "SR" "SR130" 1 1 NA NA 1
"280" "SR" "SR137" 1 1 NA NA 1
"281" "SR" "SR148" 1 1 NA NA 1
"282" "SR" "SR149" 1 1 NA NA 1
"283" "SR" "SR18" 1 1 NA NA 1
"284" "SR" "SR20" 1 1 NA NA 1
"285" "SR" "SR25" 1 1 NA NA 1
"286" "SR" "SR45" 1 1 NA NA 1
"287" "SR" "SR80" 1 1 NA NA 1
"288" "SR" "SR92" 1 1 NA NA 1
"289" "AL" "AL1" 2 0.999848 0.000152 NA 1
"290" "AL" "AL11" 2 0.999847 0.000153 NA 1
"291" "AL" "AL13" 2 0.999841 0.000159 NA 1
"292" "AL" "AL14" 2 0.999841 0.000159 NA 1
"293" "AL" "AL23" 2 0.999851 0.000149 NA 1
"294" "AL" "AL32" 2 0.999865 0.000135 NA 1
"295" "AL" "AL5" 2 0.999852 0.000148 NA 1
"296" "AL" "AL7" 2 0.999852 0.000148 NA 1
"297" "BR" "BR20" 2 0.999866 0.000134 NA 1
"298" "BR" "BR24" 2 0.999727 0.000273 NA 1
"299" "BR" "BR28" 2 0.999873 0.000127 NA 1
"300" "BR" "BR31" 2 0.999858 0.000142 NA 1
"301" "BR" "BR33" 2 0.999859 0.000141 NA 1
"302" "BR" "BR36" 2 0.999862 0.000138 NA 1
"303" "CB" "CB1" 2 0.999823 0.000177 NA 1
"304" "CL" "CL11" 2 0.999804 0.000196 NA 1
"305" "CL" "CL12" 2 0.996586 0.003414 NA 1
"306" "CL" "CL19" 2 0.000172 0.999828 NA 2
"307" "CL" "CL21" 2 0.000169 0.999831 NA 2
"308" "CL" "CL24" 2 0.999819 0.000181 NA 1
"309" "CL" "CL25" 2 0.000151 0.999849 NA 2
"310" "CL" "CL28" 2 0.999804 0.000196 NA 1
"311" "CL" "CL29" 2 0.000181 0.999819 NA 2
"312" "CL" "CL33" 2 0.000164 0.999836 NA 2
"313" "CL" "CL38" 2 0.999004 0.000996 NA 1
"314" "CL" "CL40" 2 0.000139 0.999861 NA 2
"315" "CL" "CL41" 2 0.000173 0.999827 NA 2
"316" "CL" "CL45" 2 0.000136 0.999864 NA 2
"317" "CL" "CL50" 2 0.999756 0.000244 NA 1
"318" "CL" "CL53" 2 0.999818 0.000182 NA 1
"319" "CL" "CL58" 2 0.999837 0.000163 NA 1
"320" "CL" "CL64" 2 0.000267 0.999733 NA 2
"321" "CL" "CL64.2" 2 0.999828 0.000172 NA 1
"322" "CPN" "CPN12" 2 0.999848 0.000152 NA 1
"323" "CPN" "CPN13" 2 0.999845 0.000155 NA 1
"324" "CPN" "CPN19" 2 0.999863 0.000137 NA 1
"325" "CPN" "CPN23" 2 0.999845 0.000155 NA 1
"326" "CPN" "CPN25" 2 0.999861 0.000139 NA 1
"327" "CPN" "CPN33" 2 0.999828 0.000172 NA 1
"328" "CPN" "CPN9" 2 0.999839 0.000161 NA 1
"329" "CPSE" "CPSE15" 2 0.99986 0.00014 NA 1
"330" "CPSE" "CPSE19" 2 0.999834 0.000166 NA 1
"331" "CPSE" "CPSE20" 2 0.999868 0.000132 NA 1
"332" "CPSE" "CPSE23" 2 0.999837 0.000163 NA 1
"333" "CPSE" "CPSE25" 2 0.999834 0.000166 NA 1
"334" "CPSE" "CPSE33" 2 0.999845 0.000155 NA 1
"335" "CPSE" "CPSE34" 2 0.999861 0.000139 NA 1
"336" "CPSE" "CPSE9" 2 0.999863 0.000137 NA 1
"337" "GC" "GC1" 2 0.999812 0.000188 NA 1
"338" "GC" "GC14" 2 0.999863 0.000137 NA 1
"339" "GC" "GC18" 2 0.999833 0.000167 NA 1
"340" "GC" "GC2" 2 0.999852 0.000148 NA 1
"341" "GC" "GC21" 2 0.99984 0.00016 NA 1
"342" "GC" "GC24" 2 0.999867 0.000133 NA 1
"343" "GC" "GC30" 2 0.999872 0.000128 NA 1
"344" "GC" "GC31" 2 0.999863 0.000137 NA 1
"345" "GC" "GC36" 2 0.999853 0.000147 NA 1
"346" "GC" "GC38" 2 0.999859 0.000141 NA 1
"347" "GC" "GC9" 2 0.999841 0.000159 NA 1
"348" "LD" "LD1" 2 0.00026 0.99974 NA 2
"349" "LD" "LD3" 2 0.978759 0.021241 NA 1
"350" "LN" "LN1" 2 0.999866 0.000134 NA 1
"351" "LN" "LN10" 2 0.999871 0.000129 NA 1
"352" "LN" "LN12" 2 0.999871 0.000129 NA 1
"353" "LN" "LN13" 2 0.999815 0.000185 NA 1
"354" "LN" "LN16" 2 0.999857 0.000143 NA 1
"355" "LN" "LN19" 2 0.999865 0.000135 NA 1
"356" "LN" "LN22" 2 0.99981 0.00019 NA 1
"357" "LN" "LN25" 2 0.99986 0.00014 NA 1
"358" "LN" "LN3" 2 0.99986 0.00014 NA 1
"359" "LN" "LN4" 2 0.999864 0.000136 NA 1
"360" "LN" "LN6" 2 0.999856 0.000144 NA 1
"361" "LN" "LN7" 2 0.999841 0.000159 NA 1
"362" "LN" "LN9" 2 0.999847 0.000153 NA 1
"363" "MH" "MH10" 2 0.999834 0.000166 NA 1
"364" "MH" "MH16" 2 0.999832 0.000168 NA 1
"365" "MH" "MH19" 2 0.99986 0.00014 NA 1
"366" "MH" "MH21" 2 0.999842 0.000158 NA 1
"367" "MH" "MH22" 2 0.999674 0.000326 NA 1
"368" "MH" "MH29" 2 0.000201 0.999799 NA 2
"369" "MH" "MH35" 2 0.000154 0.999846 NA 2
"370" "MH" "MH36" 2 0.000198 0.999802 NA 2
"371" "MH" "MH5" 2 0.999874 0.000126 NA 1
"372" "MM" "MM2" 2 0.000223 0.999777 NA 2
"373" "MR" "MR1" 2 0.99988 0.00012 NA 1
"374" "MR" "MR15" 2 0.999857 0.000143 NA 1
"375" "MR" "MR18" 2 0.999868 0.000132 NA 1
"376" "MR" "MR4" 2 0.999867 0.000133 NA 1
"377" "MR" "MR47" 2 0.999878 0.000122 NA 1
"378" "MR" "MR58" 2 0.999861 0.000139 NA 1
"379" "MR" "MR9" 2 0.999883 0.000117 NA 1
"380" "QR" "QR2" 2 0.999843 0.000157 NA 1
"381" "RT" "RT22" 2 0.00023 0.99977 NA 2
"382" "RT" "RT42" 2 0.000441 0.999559 NA 2
"383" "RT" "RT47" 2 0.999774 0.000226 NA 1
"384" "RT" "RT50" 2 0.000269 0.999731 NA 2
"385" "RT" "RT60" 2 2e-04 0.9998 NA 2
"386" "SF" "SF12" 2 0.999825 0.000175 NA 1
"387" "SF" "SF2" 2 0.000182 0.999818 NA 2
"388" "SF" "SF24" 2 0.000162 0.999838 NA 2
"389" "SF" "SF27" 2 0.000212 0.999788 NA 2
"390" "SF" "SF28" 2 0.000221 0.999779 NA 2
"391" "SF" "SF32" 2 0.000219 0.999781 NA 2
"392" "SF" "SF5" 2 0.000172 0.999828 NA 2
"393" "SF" "SF58" 2 0.999829 0.000171 NA 1
"394" "SF" "SF83" 2 0.000187 0.999813 NA 2
"395" "SH" "SH11" 2 0.999821 0.000179 NA 1
"396" "SH" "SH13" 2 0.000151 0.999849 NA 2
"397" "SH" "SH14" 2 0.000214 0.999786 NA 2
"398" "SH" "SH18" 2 0.999814 0.000186 NA 1
"399" "SH" "SH19" 2 0.999794 0.000206 NA 1
"400" "SH" "SH4" 2 0.999805 0.000195 NA 1
"401" "SH" "SH6" 2 0.000159 0.999841 NA 2
"402" "SH" "SH7" 2 0.999799 0.000201 NA 1
"403" "SK" "SK10" 2 0.999793 0.000207 NA 1
"404" "SK" "SK13" 2 0.999864 0.000136 NA 1
"405" "SK" "SK14" 2 0.999875 0.000125 NA 1
"406" "SK" "SK17" 2 0.999877 0.000123 NA 1
"407" "SK" "SK19" 2 0.999853 0.000147 NA 1
"408" "SK" "SK25" 2 0.999873 0.000127 NA 1
"409" "SK" "SK26" 2 0.999838 0.000162 NA 1
"410" "SK" "SK4" 2 0.999852 0.000148 NA 1
"411" "SK" "SK8" 2 0.999877 0.000123 NA 1
"412" "SP" "SP1" 2 0.999824 0.000176 NA 1
"413" "SP" "SP4" 2 0.999759 0.000241 NA 1
"414" "SR" "SR1" 2 0.99981 0.00019 NA 1
"415" "SR" "SR105" 2 0.00017 0.99983 NA 2
"416" "SR" "SR114" 2 0.000174 0.999826 NA 2
"417" "SR" "SR125" 2 0.999878 0.000122 NA 1
"418" "SR" "SR128" 2 0.99985 0.00015 NA 1
"419" "SR" "SR131" 2 0.000197 0.999803 NA 2
"420" "SR" "SR133" 2 0.000153 0.999847 NA 2
"421" "SR" "SR141" 2 0.000167 0.999833 NA 2
"422" "SR" "SR144" 2 0.999774 0.000226 NA 1
